postUrl,profileUrl,username,likeCount,commentCount,caption,pubDate,description,location,locationId,type,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20,id,timestamp,query,viewCount,taggedFullName21,taggedUsername21,taggedFullName22,taggedUsername22,taggedFullName23,taggedUsername23
https://www.instagram.com/p/CZLsqK4PuYE/,https://www.instagram.com/daughtersoftomorrow,daughtersoftomorrow,23,0,,2022-01-26T06:12:12.000Z,"🗣 Open for applications 🗣

Are you working in the eldercare or childcare sectors? 🧸 Do you need extra support to upskill at work? 🗂

Apply for the Transformation Fund and get your training sponsored! 

At DOT, we believe that education is key in the economic empowerment of women 💪🏼

Click the link in our bio or scan the QR code at the end for more information.

#empoweringwomen #enablingfamilies #TransformationFund #economicempowerment #upskilling #DOTEmpower",Singapore / Singapura / 新加坡 / சிங்கப்பூர்,114069296823977,Photo,SINDA,mysinda,Thye Hua Kwan Moral Society,thk360,TOUCH Community Services,touchcommunityservices,Singapore Children's Society,sgchildrensoc,Methodist Welfare Services,mws.sg,PPIS Singapore,ppissg,Club Rainbow (Singapore),club.rainbow,Serangoon Moral FSC,serangoonmoralfsc,AWWA,awwasg,Fei Yue,feiyue.sg,South Central Community FSC,sccfsc,Care Corner Singapore,carecornersg,Lakeside Family Services,lakesidefamilyservices,Kreta Ayer Family Services,community_kakis,New Hope Community Services,nhcs.sg,Viriya Community Services,viriyacommunityservices,@27 Family Service Centre,27fsc,REACH Community Services,reachcommunitysvcs,Marine Parade FSC (MPFSC),marineparadefsc,Hougang Sheng Hong FSC,hshfsc,2759495608640136708_3962903522,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZYDGVOvc0K/,https://www.instagram.com/zillearnplus,zillearnplus,6,0,"Photo shared by ZilLearn Plus on January 30, 2022 tagging @newlifecommunityservices, @salvationarmyihq, @sgchildrensoc, @sgminds, @hagarsingapore, @daughtersoftomorrow, @parkinsonsocietysingapore, @awwasg, @scys.sg, @campusimpactsg, and @presidentschallengesg. May be an image of 1 person and text.",2022-01-31T01:19:10.000Z,"Ang paos aren't the only gifts you can give this Chinese New Year. 

Subscribe to ZilLearn Plus and share with your family and friends this festive season the convenience of online learning. One subscription plan at S$16.50 monthly unlocks access to more than 10,000 lessons to top workplace skills taught by industry experts. 

And in the spirit of giving, we will donate S$50 to any of our 12 community partners, each time they are nominated by a ZilLearn Plus subscriber. 

Visit plus.zillearn.com to know more.

#zillionpossibilities #career #agility #possibilities #learning #neverstoplearning #zillearn #zillearnplus #accessible #empower #learn",,,Photo,New Life Community Services,newlifecommunityservices,The Salvation Army,salvationarmyihq,Singapore Children's Society,sgchildrensoc,MINDS,sgminds,Hagar Singapore,hagarsingapore,Daughters Of Tomorrow (DOT),daughtersoftomorrow,PSS,parkinsonsocietysingapore,AWWA,awwasg,SHINE,scys.sg,CampusImpact,campusimpactsg,President's Challenge,presidentschallengesg,,,,,,,,,,,,,,,,,,,2762972000644091146_28108432076,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZQjWP4I_Ry/,https://www.instagram.com/pooja.agarwal.16503323,pooja.agarwal.16503323,13,4,,2022-01-28T03:33:20.000Z,,"Singapore, City. Asia.",629855113,Video,Public Libraries Singapore,publiclibrarysg,Kidsstoppress | Parenting,kidsstoppress,Usborne Children's Books,usborne_books,Singapore Children's Society,sgchildrensoc,Sharmistha Goel,sharmisthagoel,The Bookoholics,thebookoholics,Bookchor.com,book.chor,Kids activities|Homeschooling,lovethatyoucanbuy,SWADHYA PUBLISHING HOUSE,swadhya_publishing_house,BookyWooky.in 📚 Kids' Books,bookywookybooks,Shalvi Agarwal,shalvi_agarwal,salmaafreen,salma__afreen,BOOKTOPIA,mybooktopiauae,Khyati,bookish.fame,Montessori Children’s House,montessorichildrenshousesg,Cloud Books,cloudbookspublishing,Bookabookkids,book_a_book_kids,Archit Agarwal,architagarwal25,Children's book express,children_book_express,,,2760862032082498674_33143877089,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,91,,,,,,
https://www.instagram.com/p/CZOmi9qvOot/,https://www.instagram.com/annticing_bake,annticing_bake,18,0,,2022-01-27T09:16:31.000Z,"Finally done with all the bakes for customers, and have made donation to Children Society via @helloyoripe CNY initiative.
Feeling accomplished 😁

#supportlocal #supportlocalsg #homebaker #homebaking #homebaked #pineappletart #supporthomemade #supporthomebusinesses #supporthomebasedbusiness #supporthomebaker #lowgi #premiumbakes #donation #forcharity",Singapore / Singapura / 新加坡 / சிங்கப்பூர்,114069296823977,Photo,Singapore Children's Society,sgchildrensoc,YoRipe,helloyoripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760313150069598765_51041512223,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZJUR30vrpN/,https://www.instagram.com/tfeatkitchen,tfeatkitchen,112,24,,2022-01-25T08:00:41.000Z,"Lap Mei Fun aka 腊味饭
.
This is one of my proud creation (for fundraising) for January using various wax meat from @goldenbridgefoodsofficial 
.
Mama had almost forgotten about this dish. Because the last time I had, it was nearly 20 years back. This dish is a must-have among Cantonese during CNY. And when mama proposed preparing it, everyone went ‘huh’? This shows that we are not Cantonese. 
.
Anyway, this dish has been around for a long time (during the pre-refrigeration era), and eaten whenever there’s an occasion. Meats are cured for months and when new year comes, it will be served as part of a festive dish. 
.
So mama is super nervous during the preparation. Not sure how it taste and look like; no reference to it expect for images found via internet.
.
This dish turns out a hit and beautifully cooked. The smell of cured meat with seaseme oil is a perfect combination! 
.
It’s not that difficult to prepare actually. Swipe left to view the recipe!! If you are cooking this dish rem to use Low sodium soy sauce from @leekumkeesg . The cured meats has its own salty and unique flavour. Hence you won’t want your rice too be too salty as well. 
.
On a side note, OST holding will pledge $20 if you cook with any of their Brands & products:
.
Golden Bridge
Kelly’s
GB Golden Lion
Orchid Brand
El-Dina
Kizmiq
.
All you need to do is upload a picture via YoRipe app and #cookforsgchildrensoccny2022 
.
#lapmeifun #triedsomethingnew #sgparent #sg #sgparents #sgparentbloggers #sgtoddlers #sgfood #foodie #blwmumsandbabes #tfeatkitchen #momsblog #sgmommies #mumslife #tfeatkitchen #homecooking #igsg #igfood #igfoodies #helloyoripe #yoripe #dinner #waxedmeatrice #fundraising",,,Photo,Singapore Children's Society,sgchildrensoc,Golden Bridge Foods,goldenbridgefoodsofficial,YoRipe,helloyoripe,Lee Kum Kee Singapore,leekumkeesg,HNB INFLUENCERS,hnb_influencers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758825435843181133_16206272577,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZIjXq_P7km/,https://www.instagram.com/jasonbigmoney_bwc,jasonbigmoney_bwc,92,6,"Photo by Jason Chua in Beng Who Cooks with @cciinddy, @sgchildrensoc, @bengwhocooks, and @bengwhocaresfoundation. May be an image of one or more people and text.",2022-01-25T00:53:19.000Z,Valentine,Beng Who Cooks,206721059878366,Photo,𝙲𝚒𝚗𝚍𝚢,cciinddy,Singapore Children's Society,sgchildrensoc,Beng Who Cooks,bengwhocooks,Beng Who Cares Foundation,bengwhocaresfoundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758610330098579750_1097445419,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZHhW_RvBs3/,https://www.instagram.com/bengwhocooks,bengwhocooks,71,2,"Photo by Beng Who Cooks in Beng Who Cooks with @jasonbigmoney_bwc, @sgchildrensoc, and @bengwhocaresfoundation. May be an image of text that says 'ኖုွ 14 Feb 2022 Price: $200 for 2 5 Course RSVP Only. No walk ins VALENTINE DAY Menu over at next slide @BengWhoCooks @????'.",2022-01-24T15:16:30.000Z,"No flowers this time round, but some thing even close to the heart. 

Book you 14 Feb, Valentine Day with us. $200 for 2 pax, 5 courses and 20% of the profit will be donated to @sgchildrensoc. 

“We all can find and fight for love, but the kids that doesn’t have that fighting chance, do not even have the opportunity to start at the same line”.",Beng Who Cooks,206721059878366,Photo,Jason Chua,jasonbigmoney_bwc,Singapore Children's Society,sgchildrensoc,Beng Who Cares Foundation,bengwhocaresfoundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758320012094348087_6271457902,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZHhTj9vL0Z/,https://www.instagram.com/bengwhocooks,bengwhocooks,415,8,"Photo by Beng Who Cooks in Beng Who Cooks with @jasonbigmoney_bwc, @sgchildrensoc, and @bengwhocaresfoundation. May be an image of one or more people and text that says 'Before showing you the menu, give me a moment. Valentine's day is an opportunity to recoup from poor sales in January for almost all food establishments. But V-day is also day to give love and show love but put business aside. $$ will come with the right movement. Some children do not have a chance to experience love. Therefore, 20% of the profit made on V-day will be given to the Singapore Children Society to share the love with these children too. BENG WHO COOKS In Support of: 林花 hope year Children SOCIET bringing smiles Since BENG WHO COOKS'.",2022-01-24T15:16:02.000Z,"No flowers this time round, but some thing even close to the heart. 

Book you 14 Feb, Valentine Day with us. $200 for 2 pax, 5 courses and 20% of the profit will be donated to @sgchildrensoc. 

“We all can find and fight for love, but the kids that doesn’t have that fighting chance, do not even have the opportunity to start at the same line”.",Beng Who Cooks,206721059878366,Photo,Jason Chua,jasonbigmoney_bwc,Singapore Children's Society,sgchildrensoc,Beng Who Cares Foundation,bengwhocaresfoundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758319776609385753_6271457902,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZHhQ7dvv1z/,https://www.instagram.com/bengwhocooks,bengwhocooks,74,2,"Photo by Beng Who Cooks in Beng Who Cooks with @sgchildrensoc, and @bengwhocaresfoundation. May be an image of one or more people and text that says 'VALENTINE DAY MENU The First Date Hokkiado Scallop Ikura/ Radish / Lime Juice I Am Into You Tuna Tataki Caviar Sour Cream Wrap Me In Your Arms Unagi Dumpling Pomegranate/ Aubergine Miso Soup A Classy Date Ribeye Foie Gras/ Mashed Potato /Tomatoes Key To Me Heart Key lime Tart Fleur De Sel'.",2022-01-24T15:15:41.000Z,"No flowers this time round, but some thing even close to the heart. 

Book you 14 Feb, Valentine Day with us. $200 for 2 pax, 5 courses and 20% of the profit will be donated to @sgchildrensoc. 

“We all can find and fight for love, but the kids that doesn’t have that fighting chance, do not even have the opportunity to start at the same line”.",Beng Who Cooks,206721059878366,Photo,Singapore Children's Society,sgchildrensoc,Beng Who Cares Foundation,bengwhocaresfoundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758319595684035955_6271457902,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
https://www.instagram.com/p/CZGyrnTPQfi/,https://www.instagram.com/hiartsg,hiartsg,10,0,"Photo by HiArt in Esplanade - Theatres on the Bay with @esplanadesingapore, and @sgchildrensoc. May be an image of 1 person, child and text that says 'THANK YOU FOR YOUR SUPPORT! 米 HiART / BATIIRE OPENING NIGHT OF ADA AND ANTHONY ART EXHIBITION'.",2022-01-24T08:28:38.000Z,"Thank you once again, from the bottom of our hearts. With your support, the Opening Night of Empowering The Artist In You: Ada and Anthony Art Exhibition was an incredible success! Together, we were able to raise $15,000 that will go towards supporting children and youth inneed. 

The exhibition will be open to the public and will run till March 22nd at Hiart Esplanade Gallery. Charity merchandise will be available for purchase at the Gallery Counter. 

All proceeds from the exhibition sale will be donated to the Singapore Children's Society 
.
.
.
#hiart #artistsoninstagram #illustrators #artist #onlineartclass #artworkshop #artexhibition #esplanade #sgartweek",Esplanade - Theatres on the Bay,322169171881458,Photo,Esplanade Singapore,esplanadesingapore,Singapore Children's Society,sgchildrensoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758114721272760290_6968861980,2022-03-23T02:52:37.996Z,https://www.instagram.com/sgchildrensoc,,,,,,,
